instruction,reference,generated,meteor
急性鼻窦炎的体征是什么？,1、局部红肿：多见于儿童，一般为受累鼻窦邻近部位的皮肤及软组织。2、压痛和叩痛：压迫受累鼻窦的窦壁或叩击其菲薄处可引起局部剧烈疼痛。3、鼻腔所见：急性上颌窦炎时，中下甲黏膜充血肿胀;急性额窦炎时，中鼻甲前端明显红肿，或息肉样变;急性筛窦炎时，中鼻甲和筛泡充血、肿胀;急性蝶窦炎时，鼻腔后半部和后鼻孔处黏膜急性充血。若鼻腔充满大量脓液，多提示来自上颌窦;中鼻道或下鼻道可见脓液者，多为前组鼻窦炎;后组鼻窦炎可见上鼻道或嗅裂有脓液。4、咽喉部检查：咽、喉部黏膜及其淋巴组织常见充血水肿，前组鼻窦炎可见脓液自咽侧壁流下;后组鼻窦炎可见脓液经鼻咽顶沿咽后壁流下。5、一侧鼻腔可见脓性分泌物有恶臭者，多提示为牙源性上颌窦炎。,(一)鼻塞：是主要症状，多为持续性，亦可间歇发作。鼻腔粘膜充血、肿胀，分泌物增多，初为清水样，后变为粘液脓性或脓性。(前组筛窦和额窦炎时，鼻塞较重，且常伴同侧眼内眦部疼痛;上颌窦炎时，鼻塞不明显，而以头痛为主。(由于鼻塞，使患者常张口呼吸，易致咽及扁桃体肥大，继发感染。(如病变累及整个鼻腔，则鼻涕呈,0.0
核分裂象增多的鉴别，我爷爷最近生病住院了，听爸爸妈妈说是肿瘤，我今天去医院看望爷爷的时候，不小心看到了爷爷的检查报告，上面显示爷爷的肿瘤性细胞数量增多了。,　核分裂以典型、核呈丝状分裂状态的正常及病理性核分裂象为准计数;异型性指细胞核特点，表现为核大、大小不一、浓染、染色质粗、核膜厚、核形状不规、核仁大、清楚等。以石蜡切片观察核分裂象的数目作为诊断的主要依据①每个高倍镜视野下核分裂象多于2个则为恶性;②每10个高倍镜视野下核分裂象超过5个为肉瘤;③每25个高倍镜视野下核分裂象为1～5个为低度恶性，多于5个为肉瘤;④镜下有不典型核分裂象，核的多形性和染色深是肉瘤的基本特征;⑤每25个高倍镜视野下核分裂象数≥4个，圆形核超过20%为肉瘤。,你好，根据你的描述，一般肿瘤是良性的，可以做手术切除。恶性肿瘤建议采用中医动态疗法服中药治疗，通过中药杀死癌细胞，消除肿瘤，调整阴阳平衡，扶正祛邪，标本兼治，消除癌细胞滋生蔓延的土壤，达到完全治愈的目的。,0.0
"肝病患者能吃羊肉吗，人常说肝火旺,患肝病就是火旺,但我老觉肚子凉,经常腹泻,特别是饭后明显,听说羊肉大补,我想经常吃点,有人说羊肉热性不能吃.请大夫帮忙指导.","你好,可以吃的,关于肝病的错误观点,如盲目忌口,不吃牛肉,羊肉,鸡肉,鱼肉,大肉,海鲜,鸡蛋,葱,姜,蒜,辣椒,韭菜,油腻食物等等,这些都没有科学依据,是错误的；由于盲目忌口,导致患者营养不平衡,免疫功能下降,这样会加速乙肝的发展速度；相反乙肝患者需要加强营养,只有营养平衡,才能使免疫功能进一步增强,有利于乙肝患者尽快康复；祖国医学用传统中药有非常独到的疗效,建议你用传统中药川楝子,佛手柑,白术,八月柞,木蝴蝶,龟板,白芍,海南沉,高丽参,泽泻,黄芩,乌术粉,茯苓,柴胡,金精粉,白砂糖,蜂蜜,猪苦胆汁治疗；这些传统中药具有疏肝理气,养胃健脾的功效,不管大三阳,小三阳都能使其转阴,尤其是排除乙肝病毒疗效独特；这些药物可从根本上改变患者机体与病毒和平共处的免疫耐受状态,激活患者HBV免疫反应,重建肝脏主动免疫功能,促进“免疫耐受”被打破,恢复或增强机体免疫系统抗病毒的能力,主动对HBV病毒进行消除和剥离,最终使患者走向快速康复之路.祝你早日康复!",你好，可以吃羊肉的。但是不要过量食用，羊肉性温热，有暖中补虚、开胃健脾的功能，但羊肉不宜多吃，否则容易上火，引起口舌生疮，烦躁不安等症状。平时要注意饮食清淡，忌食辛辣刺激食物。,0.0
强直的多发群体是什么？,年轻男性,无特殊人群；女性,0.0
骨科内固定术的手术治疗有些什么？,骨科内固定术,微创手术；切开复位内固定术；经皮穿刺空心钉技术；锁定加压钢板治疗；髓内钉内固定术；锁定加压钢板内固定术；锁定加压接骨板；髓内钉内固定术治疗；外固定架固定；经皮穿刺空心钉；锁定加压接骨板内固定术；锁定加压钢板；髓内钉固定术；髓内钉；外固定支架；锁定加压接骨板内固定；髓内钉内固定；锁定加压接骨板治疗；锁定加压接骨板术,0.0
晚期先天性梅毒的西医治疗,治疗：普鲁卡因青霉素G，每日5万u/kg体重，肌注，连续10天为一疗程(不超过成人剂量)。8岁以下儿童禁用四环素。先天梅毒对青霉素过敏者可用红霉素治疗，每日～12.5mg/kg体重，分4次服，连服30天。预后：经过迟缓，病程较长，对抗梅毒疗法有抗拒性，抗梅毒疗法难控制其进行，预后难定，患儿年龄较小，且身体健康较好，治疗充分者预后较好，否则可致盲、耳聋等。,早期先天性梅毒患者可采用青霉素治疗，以达到控制疾病的目的。晚期先天性梅毒患者需要长期、足量使用青霉素治疗，以彻底清除病原菌，从而达到治愈疾病的目的。青霉素治疗后，应定期进行血清学检查，以监测病情变化。对晚期先天性梅毒患者，如果已经出现严重的心脏、神经系统、骨骼等病变，可采用手术治疗。如脑膜炎者可行脑脊液放液术；有心脏瓣膜损害者可行瓣膜置换术。对于先天性梅毒患者，由于其具有传染性,0.0
宝妈们，打胎需要多少钱呀？，无,药流流产一般需要大约300-500元左右。人流一般需要根据您选择的具体流产方式。一般无痛人流包括术前检查，手术，术后复查。大约在：700-900元左右。,一般情况下，怀孕49天之内可以药物流产的，药物流产费用在100元左右，但是容易造成流产不全，需要二次清宫治疗。建议您最好选择手术流产为好，术后注意休息，不吃辛辣刺激性食物。,0.0
静脉曲张的最好治疗方法,静脉曲张是指由于血液淤滞、静脉管壁薄弱等因素，导致的静脉迂曲、扩张。身体多个部位的静脉均可发生曲张，比如痔疮其实就是一种静脉曲张，临床可见的还有食管胃底静脉曲张、精索静脉曲张及腹壁静脉曲张等等。那么，静脉曲张的最好治疗方法都有哪些？下面为大家详细的介绍下相关的知识。1、中医中药疗法：这也是临床效果较为显著的静脉曲张治疗方法，使用疏通经络的药物改变血管内壁的弹性，快速修复受损的瓣膜，使凸起的团状、条索状血管团逐渐缩小、平滑，能从根本上调节身体的机能。2、下肢静脉曲张有穿弹力袜、注射硬化剂、手术剥除等治疗方法，深静脉瓣膜功能不全，可作瓣膜修复手术和腔镜下交通支结扎术等。下肢静脉曲张也可能提示其他疾病存在，需积极治疗原发病；若深静脉回流不畅，则手术处理浅静脉更应谨慎。3、微创治疗技术，正常情况下静脉内有瓣膜，它的目的是防止血液倒流，使血液自下而上行走，瓣膜关闭很紧，血液不会倒流，当有病变的时候，瓣膜关闭不全，静脉的血液会倒流，在局部堆积，形成下肢静脉曲张，静脉曲张治的方式很多，目的是在于清除有病变的静脉，方法包括过去经典的大隐静脉高位结扎和微创技术。静脉曲张的最好治疗方法？通过上述的介绍，相信大家对静脉曲张的最好治疗方法有所了解了，希望以上的内容可以帮助大家在生活中。肥胖的人应该减肥，肥胖虽不是直接原因，但过重的力量压在腿上可能会造成腿部静脉回流不畅，使静脉扩张加重。患上静脉曲张也觉得无所谓，时间长了就会导致各种各样并发症的形成，甚至还有可能瘫痪，所以大家一定要多加注意这种疾病。,静脉曲张是血管科比较常见的疾病，主要表现为下肢浅静脉扩张、迂曲，形成静脉团。早期症状主要是下肢酸胀、疼痛，活动后加重，休息后减轻，随着病情的发展，可出现皮肤色素沉着、皮炎等。治疗方面，包括药物治疗和手术治疗两种方法。对于轻度的静脉曲张，可以采用保守治疗，如穿弹力袜，避免长时间站立，保持大便通畅等。对于中重度的静脉曲张，需要进行手术治疗，目前常用的手术方法有：传统剥脱术、激光治疗、微创旋,0.0
黄疸怎么样辨别和护理？，我的小孩13天了，可是黄疸还没有退掉，请问是什么原因，黄疸可分为那几类，怎样辨别和护理？谢谢！,黄疸经过一段时间的高水平后逐渐下降。如果停止母乳喂养48小时，胆红素下降50％。如果再次母乳喂养，胆红素会再次升高。病理性黄疸不论病因如何，严重时均可引起“核黄疸”，预后不良。除了会损害神经系统外，还会导致严重的死亡。因此，新生儿病理性黄疸应侧重于预防，例如在怀孕期间预防弓形虫和风疹病毒的感染，特别是在怀孕初期，以预防病毒感染；预防出生后败血症；新生儿出生时接种乙肝疫苗。父母应密切观察孩子黄疸的变化。如果发现病理性黄疸的迹象，应将其送到医院进行治疗。,新生儿黄疸的治疗主要是光疗。如果黄疸是由于胆红素代谢异常引起的，可以使用药物进行治疗。此外，对于新生儿黄疸，我们还应该注意日常护理。例如，我们应该保持宝宝的皮肤清洁，并经常洗澡。此外，我们还需要保持宝宝的饮食清淡，多吃蔬菜水果，少吃油腻的食物。如果宝宝出现严重症状，如嗜睡、烦躁不安等，应及时就医。,0.0
尺神经损伤的发病部位是什么？,手,腕部；腕部和手背侧；肘关节、前臂和手背侧；腕管；腕部和手背侧；腕部；尺骨远端背侧；肘部；腕管内；腕部背侧；尺骨茎突；尺神经干；肘窝；尺骨；肘关节；腕部及手掌背侧；腕管内尺神经；尺骨近侧；腕管内尺神经干；肘关节、前臂；尺骨背侧；腕部背侧；尺骨背侧；肘部尺神经；腕管内尺神经；腕,0.0
肠癌病人可以吃些什么补品，我一同事去年得了肠癌，已经做过手术了，但是手术后总是有点消化不良，打嗝，肠癌病人可以吃些什么要纾解一下症状。,直肠癌患者的饮食要多样化，不偏食，不缺肉，不要长期食用高脂肪高蛋白的饮食，常吃含有维生素的新鲜蔬菜及抗衰老食品。如西红柿深绿色和十字花科蔬菜（芹菜莞荽甘蓝芥菜萝卜等）大豆制品柑橘类水果麦芽及麦片葱蒜姜酸奶等。肠癌的治疗方法有一些，但是由于患者病情不同所以采用的诊病方法也就不一样，因此建议患者发觉症状后，及早实施诊断救治。,你好，肠癌患者可以吃一些具有抗肿瘤效用的食物，比如说蘑菇、木耳、香菇等，除了许多新鲜的蔬菜和水果。肠癌患者术后要留意饮食，不要吃辛辣刺激性的食物，也不要吃太过油腻的食物，平时也要留意多歇息，不要过度操劳。此外，肠癌患者在救治期间，患者的饮食状况和护理也是很重要的，患者一定要消化维生素，预防工作闹肚子，并且清淡饮食，以免引发不必要的伤害。,0.0
糖尿病(DM)性白内障的推荐药有些什么？,葛根素,阿卡波糖；二甲双胍；胰岛素,0.0
低体重儿的辅助治疗有些什么？,新生儿游泳联合抚触；对孕妇以及出生儿的护理；呼吸等方面的精心护理；抚触；留置针护理；护理及发展性照顾；精心护理,综合护理干预；常规护理干预；临床护理路径；护理干预,0.0
胃立康片药理作用,1? 通胃气、灭毒素、阻断病源。久正胃立康富含大量活性药物植化成分酸合酶，它能迅速分成两组靶向作用，一组调节胃肠内因子平衡状态，中和过多的胃酸，达到通胃气的目的：另一组迅速追踪胃肠毒素，将肠毒素层层包裹，全力释放药效，强效清除胃肠毒素，彻底阻断胃肠疾病难以治愈和恶化根源。 2? 调节胃肠平衡，再造胃肠内环境。久正胃立康内含类似于胃肠粘膜分子植化成份，能迅速形成一层保护膜，保护并代替胃肠粘膜功能，阻断病菌对胃肠粘膜的损伤；同时平衡胃内PH值，调节胃肠内攻防因子的平衡，增强防御因子抵抗力，从根本上解决胃肠恶化的环境，再造一个新的胃肠内环境。 3? 修复胃肠粘膜，提高免疫力。久正胃立康内含的高活性植化成份，能通过调节并激活受损胃肠粘膜细胞的分裂和代谢，保护并代替受损胃肠粘膜对食物的分解和吸收，提高胃肠粘膜细胞的自我修复能力和免疫能力，综合调理胃肠内环境，全面促进消化系统，达到整合调理的目的。 4? 健胃养胃，活胃立本。久正胃立康能迅速提高胃动力，分解食物，消除食积不化、胃酸、腹胀、腹痛。激活胃肠的蠕动功能，迅速在胃肠壁形成一层保护膜，保护并代替胃粘膜功能，阻断胃酸、胃气、肠毒素等有害物质对胃肠粘膜的损伤，同时有效物质作用于粘膜上皮细胞，促进上皮细胞进一步更新、再生，从而达到活胃立本的目的。,本品能明显促进胃酸分泌，增加胃蛋白酶活性，增强对食物的消化能力。同时能抑制胰脂肪酶、胰淀粉酶活性，减少食物的吸收，从而减轻消化道负担。此外，尚具有抗炎、抑菌作用。,0.0
超急性期缺血性脑卒中的辅助治疗有些什么？,抗血小板聚集；静脉溶栓治疗,常规护理,0.0
性生活频繁导致精液较少会导致不育吗，我性生活比较频繁，现在感觉每次射精越来越少，这样会不会导致不孕？有没有什么解决方法？,也不知道你的年龄，和身体状况，一般来说只要性生活后不会影响到第二天的工作，或者说是不会感到浑身无力，就没有什么大碍，相信大家都知道死精症对男人的伤害比较大，因此要尽快接受治疗，生活中要注意饮食问题，不要食用刺激食物，合理饮食。而且必要时可以定期复诊。,你好，性生活过于频繁的话，有可能会影响精子的质量和数量的。建议你最好能减少一下频率，可以适当的服用一些补肾壮阳的药物进行调理看看，比如金匮肾气丸等，平时注意休息，避免劳累过度。如果实在不行的话，也可以考虑通过试管婴儿的方式怀孕。,0.0
怎么治疗内痔疮的症状，本人53.男.发现这个症状已经很久了，但是这个情况一直就没有好转，请问怎么治疗内痔疮的症状,早期直肠癌绝大多数无症状二、进步期癌（中晚期）的患者再次出现腹痛、大便带血、大便变细及恶心呕吐等症状1.直肠癌生长到程度时可以再次出现尿血症状。极少量破皮是肉眼不易发觉，但用显微镜仔细检查粪便时可以发觉大量红细胞，所谓的大便潜血实验阳性。出血量多时可以再次出现大便带血，血色鲜红或暗红。当癌肿表面破溃、构成溃疡，肿瘤组织坏死传染，可再次出现脓血、粘液血便。,一般内痔的早期症状为无痛性出血，血色鲜红，附于大便表面，或手纸染血，或偶有喷射状出血，出血量可多可少。当内痔发展到后期，因直肠粘膜长期受分泌物及粪便刺激，致使直肠粘膜萎缩、变薄，弹性减退，常有黏液外溢。如继发感染，肛门部有坠胀感和疼痛，甚至有瘙痒不适。如并发肛裂，则疼痛加剧。内痔晚期，由于痔核脱出而不能自行回,0.0
外科皮脂腺囊肿的就诊科室是什么？,外科；普外科,外科；皮肤科,0.0
肛门失禁的风险评估因素有些什么？,术中出血量；术后住院时间,年龄；糖尿病；便秘；性别；高龄；吸烟史；BMI指数,0.0
风邪是什么?,风邪是中医学上对一类外界环境致病因素的称呼，为六淫之一。《黄帝内经》中描述为：“风者，善行而数变。”。风邪为阳邪，侵袭部位多在表、在上，具有游走性，病情变化较多且较迅速。感受风邪的常见症状有头痛、寒热汗出、遍身游走疼痛和肌肤瘙痒等。风邪常与其他病邪结合一同致病，如风寒、风热、风湿、风燥等。,风邪，中医病名。指感受外风而引起的疾病。《素问·举痛论》：“风雨寒热不得虚，邪不能独伤人。”《灵枢·百病始生》：“风雨寒暑，不得虚，邪不能独伤人。”《诸病源候论·风疾候》：“凡风气者，乃天地之清气也。其性轻扬，故能浮于万物之上，随风而入，故谓之风邪。”《景岳全书·风证》：“风者，阳邪也，善行数变，故,0.0
ESD术的手术治疗有些什么？,ESD术,腹腔镜手术,0.0
为什么会得大脖子病,甲状腺肿的病因还没完全清楚，情绪、药物、化学物质、放射线、遗传缺损、炎症、自身免疫等因素干扰甲状腺激素的合成、储存与释放，及血中存在刺激甲状腺生长的因子都可引起甲状腺肿。结节性甲状腺肿的CT特点为病灶多发、形态规则、边界清楚、无淋巴结肿大或周围组织受侵改变，肿瘤多呈密度均匀一致的低密度影，但合并囊变、出血、钙化等现象并不少见。弥漫性甲状腺肿二维超声显示甲状腺体积明显增大，形态饱满，包膜完整，边界清晰，回声增强，分布均匀彩色多普勒见甲状腺腺体内血流丰富，甲状腺内血流信号明显增多且呈搏动闪烁亮点“火海征”。单纯性甲状腺肿在早期甲状腺呈弥漫性增大、质软、对称。镜下可见腺泡细胞增生，呈柱状并构成乳头状体突入泡腔，腔内胶质成分少。持续较长时期后，有些泡腔内胶质大量增加，上皮细胞受压呈扁平状。部分腺泡可发生坏死、出血、囊样变性等，滤泡间及小叶间结缔组织增生，集成结节，此时甲状腺呈结节状肿大，质地变硬，形成结节性甲状腺肿。弥漫性甲状腺肿，一般不引起临床症状。但如为异位甲状腺肿或已形成结节性甲状腺肿，生长过大亦可引起压迫症状，如呼吸困难、刺激性干咳、喘鸣、发绀、颈静脉怒张、声音嘶哑等。有时囊内出血可出现某一结节突然增大伴有疼痛，以后又慢慢吸收而缩小。甲状腺功能多正常。在流行地区缺碘严重时，可发生呆小病或幼年型粘液水肿。单纯性甲状腺肿应着重预防，特别是地方性甲状腺肿，食盐中加碘是有效的预防方法。近年应用碘油肌肉注射法亦有良好预防效果。青春期甲状腺肿多可自行消退。对已形成的甲状腺肿不消退者可服甲状腺制剂治疗，有压迫症状或影响外观或生活时，可行手术治疗。,甲状腺肿，俗称“大脖子病”，是由于缺碘或环境因素、遗传因素等造成的甲状腺功能减退，导致甲状腺素分泌不足而引起的代偿性增生。甲状腺肿分为地方性和非地方性两种类型。地方性甲状腺肿是指在一定地域内，儿童和成人中患有甲状腺肿的患病率超过10%，而且没有其他原因可解释这种高发状态时，则称为地方性甲状腺肿。非地方性甲状腺肿，指在某些地区，虽然没有缺碘现象，但仍有甲状腺肿患者存在，其发病原因尚未完全明了。甲状腺肿的主要症状,0.0
声门型喉鳞癌的手术治疗有些什么？,CHEP术；喉部分切除术,颈淋巴结清扫术；全喉切除术,0.0
心房颤动有什么症状，前几天和同学聊天的时候，获知了个重大消息，我的个朋友要去做心房颤动射频消融术，所以想要理解一下心房颤动射频消融术怎么样？,心房颤动射频消融术运作时需要有的技术建议特别高，但是手术之后病发的可能性也比较高，但是只要好好护理，那么手术后病发的可能性就会增大，建议患者在手术后应当格外小心，饮食上尽量是清淡饮食，不要吃太多辛辣的食物，这样对于康复是有好处的，平时注意休息，按时作息。,心房颤动射频消融术是目前治疗阵发性或持续性心房颤动的最有效方法之一。其优点是：1、疗效确切，成功率高；2、手术时间短；3、创伤小，恢复快；4、术后复发率低。但任何手术都有风险，射频消融术也不例外。在进行射频消融前，必须严格掌握适应症，充分评估患者病情及心脏情况，做好术前准备，并选择有经验的医生施行手术，才能最大限度地保证手术的安全性。,0.0
甲状腺乳头癌的多发群体是？,无特定人群,无特定人群,0.5
请问人流后同房出血怎么处理好？，你好人流后月经也来了都快两个月了也不是第一次同房这次怎么出血了？腰和小肚子也阵痛,你好，你的情况考虑是感染的可能，人流后过早的同房会使子宫内膜造成一定程度的损伤。人流后两周内，恶露虽然已经干净，但子宫内膜创伤并未完全恢复。如果过早地进行性交，带入阴道的细菌很容易上行引起子宫内膜炎等妇科疾病。所以，还是人流后一个月再行房事好，以防宫内感染。建议去医院检查,"您好：您现在的情况考虑是由于人工流产后造成的阴道炎或者宫颈糜烂引起的症状，建议您去医院检查一下白带常规，然后在医生的指导下对症治疗。注意休息及营养,避免辛辣刺激性饮食和生冷食物。平时要保持外阴清洁干燥,每晚用温水清洗外阴,勤换内裤,不要用肥皂或热水烫洗,以免破坏局部的酸碱平衡。祝早日康复！
意见建议：如果出现有炎症感染的情况，建议到医院进行相关的检查，明确诊断后再行治疗，可以做分泌物培养，明确病",0.0
两性避孕方法有哪些？，现在晚上总想和老公过性生活，但又怕怀孕。,"1,安全期避孕法：避孕成功率70%-80%. 
　　原理：根据排卵规律避免生育期性生活. 
　　方法：月经规律的女性,大约在预算的下次月经前14-16天排卵,在此日期前后2-3天内不安全,其它日期是安全期. 
　　医生关照：在排卵期,会有轻微腹痛,腹胀,白带透明拉长丝,或极少量出血,性欲比较强的现象,但其它因素也会造成类似的现象,长期使用这种方法很不安全. 
　　2,外用避孕药――包括避孕药膏,药膜：避孕成功率70%-80%. 
　　原理：含杀精子药物的可溶性药膜,,减低精子的活动装置
　　方法：在性生活前,将药膜团成一团放入阴道,溶化后可起作用. 
　　医生关照：有人每次误将药膜吃掉,有人将膜之间的分隔纸放入阴道,都不能达到避孕效果,还有,膜放置的情况每人不同,避孕效果较差. 
　　3,男用避孕套：避孕成功率80%-98%. 
　　原理：避免精子与卵子相遇. 
　　方法：在性交前,由男方套在生殖器上. 
　　医生关照：是年轻人中最普遍使用的方法,最大的优点是丝毫不干扰妇女生理,还可以防止性传播疾病,坚持使用的最大障碍,是无论如何改进套的质地,仍有一些人感到这层薄膜影响了他们最好地享受性爱. 
　　4,液体避孕套：避孕成功率96%以上
　　原理：本品通过化学杀菌和物理屏障作用,1分钟内杀灭多种性病病原体和精子,从而起到避孕目的
　　用法用量：使用特制推进器.在入睡或房事前3分钟,将4.2毫升膏液一次性注入阴道内即可,功效持续八小时. 
　　医生关照：本品经国家计划生育委员会科学技术研究所检验,1分钟内100%杀死人体精子,期望怀孕的女士禁止使用. 并按说明书操作!
　　5,宫内节育器：避孕成功率95%以上. 
　　原理：防止受精卵在子宫着床. 
　　方法：由医生放入子宫内. 
　　医生关照：环的放置和取出需要一定的操作,放环后可能会有轻量增多,经期腹痛,子宫穿孔,或诱发炎症,多用于产后妇女,新婚女性计划1-2年内不生育的可使用‘母体乐’. 
　　必须注意：带环前先到医院检查,有妇科炎症,月经不规律或过多,生殖器肿瘤的女性不宜带环.",你好，一般在排卵期同房的话容易怀孕的，可以吃点避孕药进行避孕，也可以采用安全期避孕的，但是这个避孕方式不是很好，容易失败。最好还是用避孕套避孕为好。以后注意不要在排卵期同房就可以的。祝你健康！,0.0
门急诊的病因是什么？,机房故障或者网络故障；门急诊人次增加；网络故障,医院感染；医疗行为不当,0.0
治疗组Ⅱ期的临床表现有些什么？,疼痛,疼痛明显减轻；皮肤温度降低；红肿消失；疼痛消失,0.0
"为什么紧急避孕药吃完出现黑褐色的分泌物，最近几天阴道出现不少黑褐色的分泌物（应该不是白带，），还不时有痒的感觉．就像例假一样，越动就分泌的越多，可实际离经期还有十来天的时间．
非常担心，请问有可能是什么问题呢？
（注，出现此情况的前四五天的时间曾口服过紧急避孕药，不知有没有关联？）
非常感谢给予解答！",你应该属于由于吃避孕药引起的副作用，吃避孕药的副作用包括月经不调，突破性出血，闭经等。紧急避孕药是一种孕激素避孕药，孕激素可使内膜增厚，当药性消失，内膜失去支撑，引起撤退性出血。注意休息及卫生，注意观察这几天就会有撤药性的出血出现，只要是月经量的出血就表示避孕成功了，还可以把这次出血当作一次月经。,"你好：黑褐色分泌物是月经血，是子宫内膜脱落引起的。 
　　建议你最好是先不要服用任何药物治疗，等月经干净后到医院做个B超检查，如果没有什么问题的话，就可以不用治疗了。 
　　月经血一般在3-7天左右，如果超过这个时间，可以吃点止血药物如宫血宁胶囊，益母草颗粒等。 
　　注意经期卫生，勤换卫生巾，保持外阴清洁，禁止性生活和盆浴，以免引起感染。 
　　祝你健康！ 

### Instruction:
小儿",0.0
脑出血5年多了，一直是半侧身体麻木、疼痛，怎，患者男，现年75岁，2010年4月患丘脑出血,"脑出血的病人常有忧郁、沮丧、烦躁、易怒、悲观失望等情绪反应。因此，家属应从心理上关心体贴病人，多与病人交谈，安慰鼓励病人，创造良好的家庭气氛，耐心的解释病情，消除病人的疑虑及悲观情绪，使之了解自己的病情，建立和巩固功能康复训练的信心和决心。要多吃新鲜蔬菜和水果，因其中含维生素C和钾、镁等。
意见建议：维生素C可降低胆固醇，增强血管的致密性，防止出血，钾、镁对和因管有保护作用。可多吃上结含碘丰富的食物，如海带、紫菜、虾米等，碘可减少胆固醇在动脉壁沉积，防止动脉硬化的发生。","你好，根据你的描述，一般考虑脑出血后遗症的治疗,主要是针对脑神经损伤进行康复治疗,建议可以服用一些营养神经药物如：弥可保,维生素B1等进行治疗,配合针灸按摩理疗等方法.平时注意休息,避免情绪激动,低盐低脂饮食,适当运动.",0.0
EF明显下降的临床表现有些什么？,RVDd明显增大,心力衰竭；肾功能不全,0.0
小孩有疝气什么时候做手术好？，男24个月病情描述：小男孩儿今年2岁，发现有疝气，什么时间给他做手术比较好？,一般儿童疝气需要通过微创手术治疗。微创手术创伤小，恢复快，不会给孩子带来太多痛苦。只要父母帮助孩子选择正规的专科医院进行治疗，就能取得优异的治疗效果。术后应做好日常护理工作，确保孩子有足够的休息时间，不能过度劳累，尤其是不能过度锻炼。否则，可能会影响术后恢复。术后饮食应合理搭配，确保饮食清淡、易消化、营养丰富。,你好，根据你描述得情况来看：小儿疝气的治疗方式一般为手术治疗，建议到正规医院进行手术治疗。手术后注意休息，不要剧烈运动。祝早日康复！,0.0
老年跌倒的诊断是什么？,老年骨折患者白细胞计数可正常或升高。患者跌倒意外骨折，X线或CT可见异常。有心脏病者心电图可见异常。,1.病史：发病前有无诱发因素，如饮酒、用药、体位改变等。2.临床表现：(1)意识障碍：有无头痛、呕吐、抽搐、昏迷等症状。(2)神经系统症状：有无肢体活动障碍、感觉异常、吞咽困难、大小便失禁等症状。(3)其他：有无颅内出血或脑梗死等。3.检查：(1)一般体检：查体时注意有无意识障碍及神经系统阳性体征。(2)辅助检查：头颅CT和MRI可发现颅内出血和占位性病变,0.0
女性为什么会得宫颈息肉，无,息肉治疗一般以手术治疗切除治疗为主，效果比较确切，也可以用大剂量生薏仁煮粥吃，或用一些化痰散结的中药进行治疗，也有一定效果。,你好，宫颈息肉是慢性宫颈炎表现的一种。由于慢性炎症长期刺激，使宫颈管局部黏膜增生，因子宫有排除异物倾向，可使增生的黏膜逐渐自基底部向宫颈外口突出而形成息肉。宫颈息肉小的如米粒，大的如胡桃，表面光滑呈鲜红色，质软。宫颈息肉易发生于宫颈糜烂、慢性宫颈炎等患者。宫颈息肉的形成是由于宫颈粘膜受到慢性炎症的长期刺激而形成的。宫颈息肉在临床上比较常见，它是慢性宫颈炎表现,0.0
慢性淋巴细胞性白血病的组织学检查有些什么？,骨髓活检,骨髓活检,0.5
经常贫血怎么治疗效果好呢，我经常贫血的，小时候很缺肉，经常头晕，眼睛发花，去过很许多次医院了，医生都说是贫血，但是就是治疗不好，所以我一直就很担心，我的体格生长发育差，身材矮小，不爱玩，易疲倦，指甲生长发育不好、质脆、有横纹，毛发干燥、颜色泛黄，皮肤也泛黄，您到底怎么治疗呢2002年，太缺肉曾经的治疗情况和效果：吃过十神大补药，不见症状好啊在乎怎样的帮助：我经常贫血的，小时候很缺肉，经常头晕，眼睛发花，去过很许多次医院了，医生都说是贫血，但是就是治疗不好，所以我一直就很担心，我的体格生长发育差，身材矮小，不爱玩，易疲倦，指甲生长发,这是需要积极的消化硫酸亚铁和维生素C来实施治疗。平时增强全面的营养。多吃含铁高的食物，含铁丰富的食品有瘦肉、肝、泥鳅、牡蛎、蛋黄、大豆等，绿色蔬菜中也所含较多的铁。然而，植物体中的铁难以被消化，所以，摄入动物性食品是明智的。此外，使用炊具也有讲求，铁制的炊具远比铝、不锈钢或搪瓷制品为好。,你好，根据你的叙述，贫血是由于铁元素摄取不足引来的，需要有在饮食中留意摄取含铁丰富的食物，如动物肝脏、瘦肉、鸡蛋、鱼虾、牛奶、豆制品、绿叶蔬菜等。如果贫血严重的话，可以口服一些补血药物实施救治。祝患者身体早日恢复健康！以上是对“经常贫血怎么治疗效果好呢”这个问题的建议，期望对您有帮助，祝您健康！,0.0
儿童急性淋巴细胞白血病的病因是什么？,JAK2基因多态性；Bcl-2基因表达；环境化学物暴露,染色体异常；遗传因素；病毒感染；染色体变异；放射线；免疫功能低下；遗传；遗传缺陷；病毒感染；环境因素；染色体核型异常；EB病毒；电离辐射；遗传易感性；遗传易感；病毒感染、电离辐射、遗传易感性；病毒感染和电离辐射；遗传因素、环境因素；病毒感染、遗传易感性；遗传易感性、病毒感染；病毒感染和遗传易感性；遗传易感；病毒感染及遗传易感性；遗传因素、病毒感染；病毒感染与遗传易感性；遗传易感性；,0.0
